normalized_name,count,examples
기타포괄손익공정가치측정금융자산의취득,23,기타포괄손익-공정가치측정금융자산의취득 | 기타포괄손익-공정가치측정금융자산의 취득 | 기타포괄손익-공정가치 측정 금융자산의 취득
후속적으로당기손익으로재분류되지않는항목,23,후속적으로 당기손익으로 재분류되지 않는 항목 | 후속적으로 당기손익으로 재분류되지 않는항목 | 후속적으로 당기손익으로 재분류 되지 않는 항목
기타포괄손익공정가치측정금융자산평가손익,23,기타포괄손익공정가치측정 금융자산평가손익 | 기타포괄손익-공정가치측정금융자산평가손익 | 기타포괄손익-공정가치 측정 금융자산 평가손익
대여금의증가,23,대여금의 증가 | 대여금의증가
장기금융상품의처분,23,장기금융상품의 처분
투자부동산의처분,23,투자부동산의 처분
기타포괄손익공정가치측정금융자산의처분,22,기타포괄손익-공정가치측정금융자산의처분 | 기타포괄손익-공정가치측정금융자산의 처분 | 기타포괄손익-공정가치 측정 금융자산의 처분
단기대여금의감소,22,단기대여금의 감소
당기손익공정가치측정금융자산의취득,22,당기손익-공정가치측정금융자산의 취득 | 당기손익-공정가치 측정 금융자산의 취득 | 당기손익-공정가치측정 금융자산의 취득
투자부동산의취득,22,투자부동산의 취득 | 투자부동산의취득
영업에서창출된현금흐름,22,영업에서 창출된 현금흐름 | 영업에서창출된현금흐름
확정급여제도의재측정손익세후기타포괄손익,22,확정급여제도의 재측정손익(세후기타포괄손익)
기타금융부채,21,기타금융부채
기타수취채권,21,기타수취채권
배당금수취,21,배당금수취 | 배당금 수취
금융리스부채의지급,21,금융리스부채의 지급
퇴직급여부채,21,퇴직급여부채
유동성장기부채의상환,21,유동성장기부채의 상환 | 유동성 장기부채의 상환 | 유동성장기부채의상환
매입채무의증가감소,20,매입채무의 증가(감소)
관계기업투자,20,관계기업투자 | 관계기업 투자
이자의지급,20,이자의 지급 | 이자의지급
주식발행초과금,20,주식발행초과금
영업권이외의무형자산,20,영업권 이외의 무형자산
기타지급채무,20,기타지급채무
매출채권의감소증가,19,매출채권의 감소(증가)
유동파생상품부채,19,유동파생상품부채
계속영업기본주당이익손실,19,계속영업기본주당이익(손실)
파생상품자산,19,파생상품자산
사채의상환,19,사채의 상환
유동차입금사채포함,19,유동 차입금(사채 포함)
계약부채,18,계약부채
기타자본,18,기타자본
유동성전환사채,18,유동성전환사채
유동성장기차입금,18,유동성장기차입금 | 유동성 장기차입금
단기대여금및수취채권의취득,18,단기대여금및수취채권의 취득
차입금,18,차입금
지분법손익,18,지분법 손익 | 지분법손익
전환사채,17,전환사채
계속영업희석주당이익손실,17,계속영업희석주당이익(손실)
현금및현금성자산의증가감소,17,현금및현금성자산의 증가(감소) | 현금및현금성자산의증가(감소)
대여금의감소,17,대여금의 감소 | 대여금의감소
당기손익공정가치금융자산,16,당기손익-공정가치금융자산 | 당기손익공정가치금융자산 | 당기손익공정가치-금융자산
부채및자본총계,16,부채 및 자본총계 | 부채및자본총계 | 부채 및 자본 총계
단기대여금의증가,16,단기대여금의 증가
장기매입채무및기타비유동채무,16,장기매입채무 및 기타비유동채무
장기대여금의감소,16,장기대여금의 감소
법인세납부,16,법인세납부 | 법인세 납부
단기대여금및수취채권의처분,16,단기대여금및수취채권의 처분
단기금융상품의증가,16,단기금융상품의 증가 | 단기금융상품의증가
지배기업의소유주지분,16,지배기업의 소유주지분 | 지배기업의소유주지분 | 지배기업의 소유주 지분
기타유동부채의증가감소,15,기타유동부채의 증가(감소)
전환사채의발행,15,전환사채의 발행
관계기업투자주식,15,관계기업투자주식
후속적으로당기손익으로재분류될수있는항목,15,후속적으로 당기손익으로 재분류될 수 있는 항목 | 후속적으로 당기손익으로 재분류될수 있는 항목
단기매입채무,15,단기매입채무
장기대여금의증가,15,장기대여금의 증가 | 장기대여금의증가
법인세비용조정,15,법인세비용 조정
장기대여금및수취채권의취득,15,장기대여금및수취채권의 취득
법인세비용차감전순이익,15,법인세비용차감전순이익
계약자산,15,계약자산
감가상각비,14,감가상각비
무형자산상각비,14,무형자산상각비
유형자산처분손실,14,유형자산처분손실
법인세납부환급,14,법인세납부(환급)
중단영업기본주당이익손실,14,중단영업기본주당이익(손실)
중단영업희석주당이익손실,14,중단영업희석주당이익(손실)
전환사채의상환,14,전환사채의 상환
관계기업투자손익,14,관계기업투자손익 | 관계기업 투자손익
리스부채의감소,14,리스부채의 감소 | 리스부채의감소
전환사채의증가,14,전환사채의 증가
