stock_code,debt_ratio,current_ratio,quick_ratio,cfo_to_total_debt,operating_margin,roe,net_profit_margin,total_asset_turnover,accounts_receivable_turnover,inventory_turnover,sales_growth_rate,operating_income_growth_rate,total_asset_growth_rate,equity_ratio,debt_dependency_ratio,interest_coverage_ratio,ebitda_to_total_debt,free_cash_flow,roa
000070,0.7646268794077326,1.8871789637913388,1.357870266937794,0.1129359457082726,,,,,,,,,0.0263946598469623,,,,,,
000270,0.6610917034860964,1.5493522053442117,1.0890003905494738,0.3403542110218278,0.1178900523665458,0.3818015615534533,0.181928236821215,1.2394331416390352,35.57888612786462,6.979412804150134,0.0765499744410341,0.0912540996959563,0.1504201291499537,0.6020137226026246,0.0437004453216623,20.77877986086392,,7881768000000.0,0.2254878861161689
000390,0.3052969572639706,1.194115487423938,0.7991158340535646,0.1041610318325456,,0.0167406596786388,,,,,,,0.0485960242210094,,,,,,
000440,0.0346422155470515,4.585757503823716,3.774363668741528,-0.1330310174937931,,-0.016297257264846,,,,,,,-0.0496871196432781,,,,,,
000660,0.6215121079006432,1.6934962983233943,1.1602016771662462,0.648589596252724,0.3545289257347004,0.3107359365904057,0.2990786633503019,0.6012475651538962,6.747746438592366,2.565055580610359,1.020189454716376,-4.035752756712438,0.1946079127847542,0.6167083151137803,0.0820399887667794,4.111305419396682,,13133245000000.0,0.1798203181288508
000670,0.2682259908548592,1.267491304348591,0.4609428108093695,-70.98407578644436,,-0.0371617593731258,,,,,,,0.1192385852704419,1.5770060024175043,0.4229939975824957,,,-190239764271.0,-0.0610900836139423
000810,4.593404139138614,,,0.0436324394891901,,0.1308358602650915,,,,,,0.1240042959534627,0.0264701038302604,0.1787820037895563,0.0011958021196379,5.795406743110878,,3127018161730.0,0.0241083698726227
000880,5.370720003607523,1.4151245511829609,1.1880283431198546,0.0304064035027596,0.0434186285798962,0.0464656976786296,0.0303779034740685,0.2410126700325964,3.666717382047862,4.618353068212775,0.0472762744078914,0.0017367906066536,0.2016744984242232,0.1569681291021633,0.1360797900355775,2.025869759891601,,450604000000.0,0.0073214596262777
000890,0.229278629519416,1.3245297823548452,0.8118005689563353,-0.0527975489836057,,0.0595355447923495,,,,,,,-0.031186392141055,,,,,,
001040,1.676431888458396,0.8102656702716677,0.6279287684107121,0.3388858464098186,0.0583660668012471,0.0141230718507976,0.0057660207114391,0.9217805195995656,9.779907568647578,-9.92366035483279,0.0554732481279029,0.2493434633429379,0.0062120117767874,0.3736317760643601,0.2520990105737814,-1.3175968279769124,,7425857248000.0,0.0053150055674122
