stock_code,debt_ratio,equity_ratio,debt_dependency_ratio,current_ratio,quick_ratio,interest_coverage_ratio,ebitda_to_total_debt,cfo_to_total_debt,free_cash_flow,operating_margin,roa,roe,net_profit_margin,total_asset_turnover,accounts_receivable_turnover,inventory_turnover,sales_growth_rate,operating_income_growth_rate,total_asset_growth_rate
084440_0,0.5639115576424115,1.2788446956776696,0.7211553043223304,0.9039462531252812,0.9039462531252812,,,-0.37228069640972894,-1849723286.0,,,,,,,,,,0.016436429271465262
084440_1,0.42292851583966634,1.4055519850340517,0.5944480149659483,1.1199637219136855,1.1199637219136855,,,-3.378526426195948,-891821125.0,,-0.022782050552323848,-0.01716296955550377,,,,,,,0.21377903690279212
084440_2,0.6226771671403857,1.2325310545439938,0.7674689454560063,0.7729406399263872,0.7729406399263872,,,9.38928889773692,3900232221.0,,0.13035125479143142,0.10861700753810499,,,,,,,0.3284959849166857
084440_3,0.7285858622915233,1.1570151322125664,0.8429848677874336,0.6575615219854543,0.6575615219854543,,,2.2177224710883765,2713750313.0,,0.09239906205797929,0.09222420142827119,,,,,,,-0.16759516421154336
084440_4,1.2915435675760527,0.8727741546347986,1.1272258453652013,0.5556798427473821,0.5556798427473821,,,1.0283098780348154,,,0.002478289374048256,0.0026028668969148064,,,,,,,0.38421732046702545
084440_5,1.4520425400474959,0.8156465344036242,1.1843534655963759,0.4317875459909115,0.4317875459909115,,,,,,,,,,,,,,
084440_6,0.8832469261148649,1.0619956269494604,0.9380043730505396,0.5805835791026381,0.5805835791026381,,,,,,,,,,,,,,-0.038824624213623635
084440_7,0.9499862929512446,1.0256482351848029,0.9743517648151971,0.5642229635719775,0.5642229635719775,,,,,,,,,,,,,,0.14488719878449438
084440_8,1.2402131900370768,0.8927721740478186,1.1072278259521815,0.45525520301223343,0.45525520301223343,,,,,,,,,,,,,,0.20941904811921025
084440_9,2.0944772326744108,0.646312720895831,1.353687279104169,0.4928977062972163,0.4928977062972163,,,,,,,,,,,,,,
