normalized_name,count,examples
당기손익공정가치측정금융부채,2,당기손익-공정가치 측정 금융부채
기타자본구성요소,2,기타자본구성요소
영업비용,2,영업비용
후속적으로당기손익으로재분류되는항목,2,후속적으로 당기손익으로 재분류되는 항목
후속적으로당기손익으로재분류되지않는항목,2,후속적으로 당기손익으로 재분류되지 않는 항목
기타포괄손익공정가치측정지분상품평가손익,2,기타포괄손익-공정가치 측정 지분상품 평가손익 | 기타포괄손익-공정가치측정지분상품평가손익
관계기업및공동기업투자주식의취득,2,관계기업및공동기업투자주식의 취득 | 관계기업 및 공동기업 투자주식의 취득
장기대여금의증가,2,장기대여금의 증가
비지배지분과의거래로인한현금유입,2,비지배지분과의 거래로 인한 현금유입
비지배지분과의거래로인한현금유출,2,비지배지분과의 거래로 인한 현금유출
선급법인세,2,선급법인세
장기매출채권,2,장기매출채권
기타유동금융부채,2,기타유동금융부채
기타비유동금융부채,2,기타비유동금융부채
기타포괄손익법인세효과,2,기타포괄손익 법인세효과
후속적으로당기손익으로재분류될수있는항목,2,후속적으로 당기손익으로 재분류될 수 있는 항목
사업결합으로인한현금유입,2,사업결합으로 인한 현금유입
재무활동으로인한현금유입액,2,재무활동으로 인한 현금유입액
차입금의증가,2,차입금의 증가
재무활동으로인한현금유출액,2,재무활동으로 인한 현금유출액
계약자산,2,계약자산
사채및차입금,2,사채및차입금
계약부채,2,계약부채
파생상품부채,2,파생상품부채
후속기간에당기손익으로재분류되지않는항목,2,후속기간에 당기손익으로 재분류되지 않는 항목 | 후속기간에당기손익으로재분류되지않는항목
후속기간에당기손익으로재분류되는항목,2,후속기간에 당기손익으로 재분류되는 항목 | 후속기간에당기손익으로재분류되는항목
영업활동으로인한현금흐름,2,영업활동으로 인한 현금흐름
유상증자,2,유상증자
유동성장기차입금의상환,2,유동성장기차입금의 상환
환율변동효과반영전현금및현금성자산의순증가감소,2,환율변동효과 반영전 현금및현금성자산의 순증가(감소)
현금및현금성자산의순증가감소,2,현금및현금성자산의순증가(감소)
장기종업원급여충당부채,2,장기종업원급여충당부채
판매비,2,판매비
관리비,2,관리비
파생상품평가손익,2,파생상품평가손익
이자수취,2,이자수취
단기금융상품의순증감,2,단기금융상품의 순증감
기타유동금융자산의순증감,2,기타유동금융자산의 순증감
계속영업주당이익,2,계속영업주당이익
중단영업주당이익,2,중단영업주당이익
후속적으로당기손익으로재분류될수없는항목,2,후속적으로 당기손익으로 재분류될 수 없는 항목
관계기업투자의감소,2,관계기업 투자의 감소
사업결합으로인한현금유출,2,사업결합으로 인한 현금유출
재무활동으로인한현금흐름,2,재무활동으로 인한 현금흐름
보증금의감소,2,보증금의 감소
비유동파생상품부채,2,비유동파생상품부채
기타이익,2,기타이익
지분법손실,2,지분법손실
당기손익으로재분류될수있는항목세후기타포괄손익,2,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)
금융기관예치금,2,금융기관예치금
상각후원가측정금융자산,2,상각후원가 측정 금융자산
비지배지분의증가,2,비지배지분의 증가
단기상각후원가금융자산,1,단기상각후원가금융자산
단기당기손익공정가치금융자산,1,단기당기손익-공정가치금융자산
선급비용,1,선급비용
기타포괄손익공정가치금융자산,1,기타포괄손익-공정가치금융자산
당기손익공정가치금융자산,1,당기손익-공정가치금융자산
예수금,1,예수금
우선주자본금,1,우선주자본금
지배기업소유지분,1,지배기업 소유지분
기타포괄손익공정가치금융자산평가손익,1,기타포괄손익-공정가치금융자산평가손익
순확정급여부채자산재측정요소,1,순확정급여부채(자산) 재측정요소
현금흐름위험회피파생상품평가손익,1,현금흐름위험회피파생상품평가손익
조정,1,조정
영업활동으로인한자산부채의변동,1,영업활동으로 인한 자산부채의 변동
법인세납부액,1,법인세 납부액
단기금융상품의순감소증가,1,단기금융상품의 순감소(증가)
단기상각후원가금융자산의순감소증가,1,단기상각후원가금융자산의 순감소(증가)
단기당기손익공정가치금융자산의순감소증가,1,단기당기손익-공정가치금융자산의 순감소(증가)
장기금융상품의처분,1,장기금융상품의 처분
장기금융상품의취득,1,장기금융상품의 취득
기타포괄손익공정가치금융자산의처분,1,기타포괄손익-공정가치금융자산의 처분
기타포괄손익공정가치금융자산의취득,1,기타포괄손익-공정가치금융자산의 취득
당기손익공정가치금융자산의처분,1,당기손익-공정가치금융자산의 처분
