stock_code,debt_ratio,equity_ratio,debt_dependency_ratio,current_ratio,quick_ratio,interest_coverage_ratio,ebitda_to_total_debt,cfo_to_total_debt,free_cash_flow,operating_margin,roa,roe,net_profit_margin,total_asset_turnover,accounts_receivable_turnover,inventory_turnover,sales_growth_rate,operating_income_growth_rate,total_asset_growth_rate
028050_0,0.3883868056427482,1.4405207481600257,0.5594792518399742,1.3762332623441242,1.3762332623441242,17.563967072091813,,3.2591046848821295,887332795786.0,0.14026558340962683,0.12755461278105157,0.08826672762951736,0.11450280529215945,1.1139867923374438,3.42356683811672,,0.0770633629692986,1.147542341811957,0.3581439224997712
028050_1,0.37804726853163184,1.4513290259855058,0.5486709740144942,1.2937739158470598,1.2937739158470598,6.188637916880636,,1.0479789654237714,166812078090.0,0.07034781947468198,0.12328347850481444,0.08866632581499224,0.10163682931659965,1.2129803667997678,4.145138401696654,,-0.06599638653017663,-0.13153541696117227,-0.010623190382994835
028050_2,0.5035795918447585,1.3301590490106199,0.6698409509893801,1.0260638448061556,1.0260638448061556,7.5322123334748285,,-0.7660603997904553,-677759896358.0,0.07565664607665204,0.06550398417069066,0.049292342418626366,0.04612211677149024,1.420229355370373,3.962837570956563,,0.3121008397194595,0.7466440871478627,0.2208071612705972
028050_3,0.5067780799340875,1.327335476029415,0.6726645239705851,1.0082006570562643,1.0082006570562643,9.211843393324115,,0.16665809923586256,9290360125.0,0.056834216872214696,0.043965374247049716,0.03325966377618775,0.03483148259692528,1.2622309178114264,3.97338041768264,,0.012984324766433096,0.12531675359671152,0.10567791577137282
028050_4,0.5199258187566195,1.3158536918835333,0.6841463081164666,0.9362277479953091,0.9362277479953091,5.323810592236716,,-2.520981109938661,-669292570327.0,0.05116085814764472,0.06178269250982576,0.04810620240026143,0.04622675705275209,1.3365136654367054,4.466546543229604,,0.04700622672681163,0.11094276571964484,0.03825430622632221
028050_5,0.5980377763673252,1.2515348695613562,0.7484651304386439,0.8549770263858313,0.8549770263858313,6.5481003873895745,,10.580281459675112,932907655986.0,0.04821646865900641,0.03971543099694551,0.03245806814202607,0.03180665118732606,1.2486517603830873,3.806713486947131,,0.12437635138316962,-53.10030342074232,-0.07725983614311081
028050_6,0.6697168189529961,1.197807902093308,0.802192097906692,0.8329805627867012,0.8329805627867012,-0.0730216658172104,,5.169933262519444,1184321596370.0,-0.0010405593355107211,0.006713516537337441,0.005624248597160969,0.0064464203563533344,1.0414332553912449,3.38992440709612,,-0.04848068441749785,-0.9644924100794782,-0.04789696809756177
028050_7,0.6810436051269612,1.1897371334689142,0.8102628665310858,1.0192813681696058,1.0192813681696058,-1.5961688384034494,,-0.9309570631904138,-356958405036.0,-0.02788452578629967,-0.02189889429706613,-0.018358578249606454,-0.02155268974804732,1.0160631713751727,4.343082109023993,,-0.19981921143341497,-1.941895616209628,-0.093208866281924
028050_8,0.6727182568895254,1.1956586183970193,0.8043413816029809,1.0280051477202774,1.0280051477202774,3.253828597903767,,1.189091960662009,202265695928.0,0.023689102538004218,-0.0004652519107716626,-0.0004429991662777213,-0.0003834454265285682,1.213345833809285,7.148330589014844,,0.13788843661683414,-1.1167094415359446,0.004523224183297935
028050_9,1.2120281364069534,0.9041476313446196,1.0958523686553805,1.001654600860406,1.001654600860406,-23.294489256097304,,-0.9071602329931052,-601411349840.0,-0.23096294093330605,-0.2799052631940626,-0.2690077122087517,-0.2740822762150841,1.021245397766651,6.118140592223747,,-0.3412042240558072,-4.754193254679218,-0.08507348611503941
028050_10,0.7163376318023293,1.1652718922790246,0.8347281077209755,1.189209022016106,1.189209022016106,6.383817712536824,,1.6997425373708814,270196598288.0,0.04052998861922238,,,-0.006977349492444109,,,,,,
